Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1GT_003066_20170207_20170216_01_T2,LC80030662017038LGN00,2017/02/07,T2,1, 003, 066,3, 066,NADIR,-.001,2017/02/16,2017:038:14:45:08.9776900,2017:038:14:45:40.7476870,LGN,100,100,-1,4,0,0,0,9,LPGS_2.7.0,58.37215863,104.79450274,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15461,15201,7731,7601,7731,7601,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,8°40'36.12"S,69°30'13.72"W,7°37'50.81"S,70°09'47.45"W,7°59'28.25"S,68°28'16.54"W,9°21'49.72"S,70°32'27.46"W,9°43'40.66"S,68°50'28.07"W,-8.6767,-69.50381,-7.63078,-70.16318,-7.99118,-68.47126,-9.36381,-70.54096,-9.72796,-68.84113,LC08_L1GT_003066_20170207_20170216_01_T2,LC08_L1GT_003066_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80030662017038LGN00
LC08_L1TP_156026_20170207_20170216_01_T1,LC81560262017038LGN00,2017/02/07,T1,1, 156, 026,156, 026,NADIR,-.001,2017/02/16,2017:038:06:14:48.0377660,2017:038:06:15:19.8077630,LGN,2.74,2.74,37,4,9.203,6.119,6.875,9,LPGS_2.7.0,23.2490275,157.9095672,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15961,15761,7981,7881,7981,7881,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,48°51'58.64"N,68°46'31.55"E,49°55'53.83"N,67°50'11.22"E,49°28'56.78"N,70°24'01.98"E,48°13'37.60"N,67°11'16.01"E,47°47'02.72"N,69°40'06.24"E,48.86629,68.77543,49.93162,67.83645,49.48244,70.40055,48.22711,67.18778,47.78409,69.6684,LC08_L1TP_156026_20170207_20170216_01_T1,LC08_L1TP_156026_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560262017038LGN00
LC08_L1TP_156012_20170207_20170216_01_T1,LC81560122017038LGN00,2017/02/07,T1,1, 156, 012,156, 012,NADIR,-.001,2017/02/16,2017:038:06:09:13.7580910,2017:038:06:09:45.5280880,LGN,1.32,1.32,193,4,10.08,6.757,7.48,9,LPGS_2.7.0,6.21336467,170.93279891,FINAL,OLI_TIRS_L1TP,OLI_TIRS,17041,16941,8521,8471,8521,8471,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,68°16'46.74"N,81°48'26.96"E,69°25'18.52"N,80°33'48.06"E,68°42'06.77"N,84°57'14.69"E,67°48'02.05"N,78°46'37.78"E,67°07'11.17"N,82°54'57.82"E,68.27965,81.80749,69.42181,80.56335,68.70188,84.95408,67.80057,78.77716,67.11977,82.91606,LC08_L1TP_156012_20170207_20170216_01_T1,LC08_L1TP_156012_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560122017038LGN00
LC08_L1TP_003070_20170207_20170216_01_T1,LC80030702017038LGN00,2017/02/07,T1,1, 003, 070,3, 070,NADIR,-.001,2017/02/16,2017:038:14:46:44.6943380,2017:038:14:47:16.4643350,LGN,91.54,91.54,39,4,7.864,4.504,6.447,9,LPGS_2.7.0,58.55507784,95.43294754,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15421,15161,7711,7581,7711,7581,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,14°27'24.66"S,70°45'56.92"W,13°24'37.80"S,71°25'56.89"W,13°46'19.06"S,69°42'55.04"W,15°08'30.37"S,71°49'25.28"W,15°30'26.53"S,70°05'34.62"W,-14.45685,-70.76581,-13.4105,-71.43247,-13.77196,-69.71529,-15.14177,-71.82369,-15.50737,-70.09295,LC08_L1TP_003070_20170207_20170216_01_T1,LC08_L1TP_003070_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC80030702017038LGN00
LC08_L1GT_156022_20170207_20170216_01_T2,LC81560222017038LGN00,2017/02/07,T2,1, 156, 022,156, 022,NADIR,-.001,2017/02/16,2017:038:06:13:12.5202100,2017:038:06:13:44.2902080,LGN,86.39,86.39,-1,4,0,0,0,9,LPGS_2.7.0,18.43720374,160.83128964,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15841,15661,7921,7831,7921,7831,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,54°30'30.31"N,71°19'22.48"E,55°35'10.46"N,70°17'46.07"E,55°05'39.98"N,73°11'44.66"E,53°53'37.82"N,69°30'03.85"E,53°24'45.68"N,72°17'18.56"E,54.50842,71.32291,55.58624,70.29613,55.09444,73.19574,53.89384,69.50107,53.41269,72.28849,LC08_L1GT_156022_20170207_20170216_01_T2,LC08_L1GT_156022_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560222017038LGN00
LC08_L1GT_156023_20170207_20170216_01_T2,LC81560232017038LGN00,2017/02/07,T2,1, 156, 023,156, 023,NADIR,-.001,2017/02/16,2017:038:06:13:36.3985400,2017:038:06:14:08.1685380,LGN,78.17,78.17,-1,4,0,0,0,9,LPGS_2.7.0,19.64590927,160.08005473,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15901,15681,7951,7841,7951,7841,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,53°06'08.60"N,70°38'02.76"E,54°10'35.76"N,69°37'49.94"E,53°41'49.16"N,72°26'12.41"E,52°28'50.81"N,68°52'42.82"E,52°00'37.80"N,71°34'50.84"E,53.10239,70.6341,54.1766,69.63054,53.69699,72.43678,52.48078,68.87856,52.0105,71.58079,LC08_L1GT_156023_20170207_20170216_01_T2,LC08_L1GT_156023_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560232017038LGN00
LC08_L1GT_156025_20170207_20170216_01_T2,LC81560252017038LGN00,2017/02/07,T2,1, 156, 025,156, 025,NADIR,-.001,2017/02/16,2017:038:06:14:24.1594360,2017:038:06:14:55.9294330,LGN,4.7,4.7,-1,4,0,0,0,9,LPGS_2.7.0,22.05225227,158.62352292,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15941,15741,7971,7871,7971,7871,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,50°16'51.42"N,69°21'50.44"E,51°20'56.22"N,68°24'15.41"E,50°53'25.80"N,71°02'36.67"E,49°38'49.56"N,67°43'29.71"E,49°11'44.74"N,70°16'27.88"E,50.28095,69.36401,51.34895,68.40428,50.8905,71.04352,49.6471,67.72492,49.19576,70.27441,LC08_L1GT_156025_20170207_20170216_01_T2,LC08_L1GT_156025_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560252017038LGN00
LC08_L1TP_156016_20170207_20170216_01_T2,LC81560162017038LGN00,2017/02/07,T2,1, 156, 016,156, 016,NADIR,-.001,2017/02/16,2017:038:06:10:49.2587030,2017:038:06:11:21.0287000,LGN,3.44,3.44,59,4,12.952,8.545,9.734,9,LPGS_2.7.0,11.12546295,166.04297759,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16461,16301,8231,8151,8231,8151,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,62°51'17.21"N,76°33'21.60"E,63°57'49.21"N,75°22'47.86"E,63°21'57.17"N,79°01'33.46"E,62°18'07.16"N,74°10'10.24"E,61°43'38.03"N,77°38'02.94"E,62.85478,76.556,63.96367,75.37996,63.36588,79.02596,62.30199,74.16951,61.72723,77.63415,LC08_L1TP_156016_20170207_20170216_01_T2,LC08_L1TP_156016_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560162017038LGN00
LC08_L1TP_156031_20170207_20170216_01_T1,LC81560312017038LGN00,2017/02/07,T1,1, 156, 031,156, 031,NADIR,-.001,2017/02/16,2017:038:06:16:47.4548320,2017:038:06:17:19.2248290,LGN,57.62,57.62,244,4,7.392,5.419,5.028,9,LPGS_2.7.0,29.15505139,154.33799459,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16061,15841,8031,7921,8031,7921,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.95"N,66°11'08.27"E,42°48'53.71"N,65°20'07.58"E,42°24'03.46"N,67°35'48.66"E,41°05'59.35"N,64°48'01.87"E,40°41'18.78"N,67°00'10.66"E,41.75943,66.18563,42.81492,65.33544,42.40096,67.59685,41.09982,64.80052,40.68855,67.00296,LC08_L1TP_156031_20170207_20170216_01_T1,LC08_L1TP_156031_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560312017038LGN00
LC08_L1TP_156038_20170207_20170216_01_T1,LC81560382017038LGN00,2017/02/07,T1,1, 156, 038,156, 038,NADIR,-.001,2017/02/16,2017:038:06:19:34.6666810,2017:038:06:20:06.4366780,LGN,87.21,87.21,87,4,9.556,6.546,6.962,9,LPGS_2.7.0,37.11279012,148.81084353,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15581,15301,7791,7651,7791,7651,UTM,41,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,31°44'31.78"N,63°13'29.53"E,32°47'24.79"N,62°27'59.62"E,32°24'22.39"N,64°26'36.20"E,31°03'53.35"N,62°01'19.63"E,30°40'50.52"N,63°57'44.28"E,31.74216,63.22487,32.79022,62.46656,32.40622,64.44339,31.06482,62.02212,30.6807,63.9623,LC08_L1TP_156038_20170207_20170216_01_T1,LC08_L1TP_156038_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560382017038LGN00
